epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,21754,0.46258,0.20033,0.0029,0.99795,0.99897,0.99495,0.59972,1.38641,0.36496,0.01522,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,22004.8,0.45863,0.20036,0.00288,0.99824,0.99885,0.99495,0.59997,1.38658,0.36535,0.01522,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,22256.2,0.45381,0.19863,0.00284,0.99798,0.99922,0.99496,0.59957,1.38687,0.36556,0.01522,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,22505.1,0.32307,0.09773,0.00259,0.99864,0.99898,0.99496,0.59927,1.3867,0.36504,0.01522,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,22755.1,0.30617,0.09314,0.00244,0.99848,0.99873,0.99496,0.59978,1.38635,0.36608,0.01522,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,23007.3,0.2958,0.09068,0.00235,0.99873,0.99881,0.99496,0.60107,1.38576,0.36668,0.01521,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,23251.1,0.28841,0.08853,0.00228,0.99877,0.99873,0.99496,0.60102,1.38533,0.36711,0.0152,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,23496.5,0.28017,0.08631,0.00221,0.99879,0.99896,0.99496,0.60114,1.38473,0.36815,0.0152,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,23743.8,0.2754,0.08466,0.00217,0.9992,0.99891,0.99496,0.60119,1.38422,0.36834,0.01519,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,23992.5,0.26812,0.08231,0.00211,0.99837,0.99915,0.99496,0.60146,1.38378,0.36962,0.01518,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,24237.5,0.26439,0.08125,0.00208,0.99867,0.99868,0.99496,0.60101,1.38339,0.37087,0.01518,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,24483.8,0.25912,0.07958,0.00204,0.99922,0.99867,0.99496,0.60112,1.3833,0.37175,0.01518,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,24730.7,0.25353,0.07848,0.00199,0.99904,0.99932,0.99496,0.60128,1.38295,0.37285,0.01517,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
